agent_class,regime,e,i,s,v,risk,stored_coherence
Lumen,CONVERGENCE,0.7401030444017264,0.8675881796080214,0.17036670893261632,-0.12601485117833067,0.0,0.47895010340321276
Lumen,CONVERGENCE,0.7498737651010003,0.7978764616805736,0.1495390240750057,-0.04546987456695056,0.15,0.48082471315985675
Lumen,CONVERGENCE,0.7430059096197229,0.8381418301647792,0.15576542025754922,-0.12433068730433644,0.31346445053498495,0.4443131481823119
Lumen,CONVERGENCE,0.7145276038033392,0.8382050679697178,0.17701269145166162,-0.11995516385094884,0.0,0.4709082146200219
Lumen,CONVERGENCE,0.7413369207504025,0.7989288911936608,0.2498704573938139,-0.05611023573396263,0.1495,0.47989895774333435
Lumen,CONVERGENCE,0.7454940559825858,0.8205461892352558,0.20726216572228046,-0.0666127078349368,0.0,0.47964113144260945
Lumen,EXPLORATION,0.747286113867935,0.8008500413528888,0.16543743976301897,-0.06916735192687917,0.0,0.48132584219057295
Lumen,EXPLORATION,0.7422564440582821,0.73312241268616,0.23666159157762823,-0.034488721073484815,0.0,0.4819852289501968
Lumen,CONVERGENCE,0.74538713984274,0.8034152525962506,0.1615851225084154,-0.07762408526574353,0.0,0.48158143191969616
Lumen,DIVERGENCE,0.7326568593574548,0.8664983842302989,0.16299968099588344,-0.18992815323312312,0.4119249591663163,0.4434965048649556
Lumen,CONVERGENCE,0.7755700202576704,0.7167537282162102,0.15515728672101922,0.07149362929572384,0.1498,0.4940447450935717
Lumen,CONVERGENCE,0.7425577584062636,0.7666100435909954,0.23437540517131714,-0.043580044082451794,0.0,0.481515400107799
Lumen,CONVERGENCE,0.7430815801738535,0.8247655997941681,0.15968345347910615,-0.12320249088878935,0.0,0.477729615824862
Lumen,CONVERGENCE,0.40954931743042067,0.8378367516153941,0.2929079083112034,-0.12585709897478398,0.03359214278604763,0.477747518798107
Lumen,CONVERGENCE,0.7449244282034474,0.800152434289174,0.150734353159297,-0.054152755731330104,0.0,0.48231726671666686
Lumen,CONVERGENCE,0.7674389911681927,0.8174060612290429,0.16439805357325923,-0.032922552186833445,0.0,0.494950975717954
Lumen,EXPLORATION,0.7443864164520476,0.799261323964796,0.15727549339136607,-0.054258551296499445,0.0,0.4816442072860081
Lumen,CONVERGENCE,0.7455187169719641,0.7950803347052458,0.18387218482361026,-0.0456332901722022,0.0,0.4808770432618395
Lumen,CONVERGENCE,0.7399848376629481,0.8492002319814198,0.2490177200955279,-0.12429124654752419,0.0,0.47948272426034666
Lumen,CONVERGENCE,0.7376424043339126,0.7885401936022481,0.2743236289650366,-0.07113596295431152,0.0,0.47963079270167275
Lumen,CONVERGENCE,0.7875858327297353,0.798057995369868,0.152765849376934,0.039102907990907584,0.0,0.4824168918408407
Lumen,CONVERGENCE,0.7454240669961206,0.7488230752766253,0.17022903968120537,-0.03943371457987967,0.27932421049475825,0.4812630787898346
Lumen,CONVERGENCE,0.7377099517647657,0.798459325842284,0.23406383053207078,-0.0491733236191215,0.0,0.4814741820054442
Lumen,CONVERGENCE,0.7897485862412739,0.8187604515796825,0.15181149087591878,-0.004589279578489159,0.0,0.48157525
Lumen,CONVERGENCE,0.7458513442280188,0.797153618848343,0.14930758764347912,-0.05229753196725105,0.0,0.4817094538076391
Lumen,CONVERGENCE,0.7469328188329685,0.8197346642639711,0.17776074816362444,-0.07619973783488965,0.0,0.4798271540149383
Lumen,CONVERGENCE,0.7396947459418233,0.8149112913474456,0.16530218252055437,-0.05830531040041771,0.14787324762407858,0.47849139440744887
